,State,Marriages_2019,Marriages_2018,Marriages_2017,Marriages_2016,Marriages_2015,Marriages_2014,Marriages_2013,Marriages_2012,Marriages_2011,Marriages_2010,Marriages_2009,Marriages_2008,Divorces_2007,Marriages_2006,Marriages_2005,Marriages_2004,Divorces_2003,Marriages_2002,Marriages_2001,Marriages_2000,Marriages_1999,Marriages_1995,Marriages_1990,Divorces_2019,Divorces_2018,Divorces_2017,Divorces_2016,Divorces_2015,2014_Divorces,2013_Divorces,2012_Divorces,Divorces_2011,Divorces_2010,Divorces_2009,Divorces_2008,2007_y,Divorces_2006,Divorces_2005,Divorces_2004,2003_y,Divorces_2002,Divorces_2001,Divorces_2000,Divorces_1999,Divorces_1995,Divorces_1990
0,Alabama,6.7,6.8,7.0,7.1,7.4,7.8,7.8,8.2,8.4,8.2,8.3,8.6,8.9,9.2,9.2,9.4,9.6,9.9,9.4,10.1,10.8,9.8,10.6,3.6,3.7,3.7,3.8,3.9,3.8,3.7,3.6,4.3,4.4,4.4,4.3,4.5,4.9,4.9,4.9,5.2,5.4,5.4,5.5,5.7,6.0,6.1
1,Alaska,6.5,6.7,6.9,7.1,7.4,7.5,7.3,7.2,7.8,8.0,7.8,8.4,8.5,8.2,8.2,8.5,8.1,8.3,8.1,8.9,8.6,9.0,10.2,3.6,3.7,3.6,3.9,4.1,4.0,4.5,4.5,4.8,4.7,4.4,4.4,4.3,4.2,4.3,4.3,3.9,4.6,4.3,3.9,5.0,5.0,5.5
2,Arizona,5.3,5.5,5.8,5.9,5.9,5.8,5.4,5.6,5.7,5.9,5.6,6.0,6.4,6.5,6.6,6.7,6.5,6.7,7.6,7.5,8.2,8.8,10.0,2.9,3.0,3.5,3.4,3.6,3.9,3.9,4.3,3.9,3.5,3.6,3.8,4.0,4.0,4.2,4.3,4.4,4.8,4.0,4.6,4.6,6.2,6.9
3,Arkansas,8.4,8.9,9.5,9.9,10.0,10.1,9.8,10.9,10.4,10.8,10.7,10.6,12.0,12.4,12.9,13.4,13.4,14.3,14.3,15.4,14.8,14.4,15.3,4.0,4.1,3.7,3.9,4.8,4.8,5.0,5.3,5.3,5.7,5.7,5.5,5.9,5.8,6.0,6.1,6.0,6.2,6.2,6.4,6.2,6.3,6.9
4,California,5.7,6.0,6.3,6.5,6.2,6.4,6.5,6.0,5.8,5.8,5.8,6.7,6.2,6.3,6.4,6.4,6.1,6.2,6.5,5.8,6.4,6.3,7.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.3
5,Colorado,7.3,7.6,7.3,7.4,6.8,7.1,6.5,6.8,7.0,6.9,6.9,7.4,7.1,7.2,7.6,7.4,7.8,8.0,8.2,8.3,8.2,9.0,9.8,3.3,3.3,3.2,3.6,3.7,3.9,4.1,4.3,4.4,4.3,4.3,4.3,4.4,4.5,4.4,4.4,4.3,4.7,4.7,4.7,4.8,NULL,5.5
6,Connecticut,5.0,5.3,5.6,5.6,5.3,5.4,5.0,5.2,5.5,5.6,5.9,5.4,5.5,5.5,5.8,5.8,5.5,5.7,5.4,5.7,5.8,6.6,7.9,2.7,2.9,2.9,3.2,3.1,2.6,2.8,2.7,3.1,2.9,3.0,3.4,3.2,3.1,3.0,3.1,3.2,3.3,3.2,3.3,3.0,2.9,3.2
7,Delaware,5.0,5.2,5.5,5.6,5.7,6.0,6.6,5.8,5.2,5.2,5.4,5.5,5.7,5.9,5.9,6.1,6.0,6.4,6.5,6.5,6.7,7.3,8.4,2.9,2.8,3.0,3.1,3.1,3.3,3.4,3.5,3.6,3.5,3.6,3.5,3.7,3.8,3.8,3.7,3.9,3.5,3.9,3.9,4.5,5.0,4.4
8,District of Columbia,7.8,7.8,8.2,8.1,8.2,11.8,10.8,8.4,8.7,7.6,4.7,4.1,4.2,4.0,4.1,5.2,5.1,5.1,6.2,4.9,6.6,6.1,8.2,2.4,2.5,2.5,2.7,2.8,2.6,2.8,2.9,2.9,2.8,2.7,2.7,1.7,2.1,2.0,1.8,2.0,2.4,2.9,3.2,3.6,3.2,4.5
9,Florida,7.1,7.3,7.8,8.1,8.2,7.3,7.0,7.2,7.4,7.3,7.5,8.0,8.5,8.6,8.9,9.0,9.0,9.4,9.3,8.9,8.7,9.9,10.9,3.5,3.6,3.6,3.9,4.0,4.0,4.1,4.2,4.5,4.4,4.2,4.3,4.6,4.7,4.6,4.7,5.0,5.1,5.2,5.1,5.1,5.5,6.3
10,Georgia,6.0,6.4,6.9,6.8,6.2,NULL,NULL,6.5,6.6,7.3,6.6,6.0,6.8,7.3,7.0,7.9,7.0,6.5,6.1,6.8,7.8,8.4,10.3,2.3,2.5,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.2,2.5,3.1,3.3,4.1,5.1,5.5
11,Hawaii,14.2,15.3,15.3,15.6,15.9,17.7,16.3,17.5,17.6,17.6,17.2,19.1,20.8,21.9,22.6,22.6,22.0,20.8,19.6,20.6,18.9,15.7,16.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.7,4.0,3.9,3.8,4.6,4.6
12,Idaho,7.4,7.8,7.8,8.1,8.2,8.4,8.2,8.2,8.6,8.8,8.9,9.5,10.0,10.1,10.5,10.8,10.9,11.0,11.2,10.8,12.1,13.1,13.9,3.9,3.8,3.9,4.0,4.1,4.2,4.5,4.7,4.9,5.2,5.0,4.8,4.9,5.0,5.0,5.0,5.2,5.3,5.3,5.5,5.4,5.8,6.5
13,Illinois,5.2,5.5,6.0,5.8,5.9,6.2,5.4,5.8,5.6,5.7,5.7,5.9,6.1,6.2,5.9,6.2,6.5,6.6,7.2,6.9,7.0,6.9,8.8,1.3,1.5,1.9,2.2,2.2,2.2,2.3,2.4,2.6,2.6,2.5,2.5,2.6,2.5,2.6,2.6,2.8,2.9,3.2,3.2,3.3,3.2,3.8
14,Indiana,6.2,6.6,6.9,6.9,6.9,7.1,6.6,6.7,6.8,6.3,7.9,8.0,7.0,7.0,6.9,7.8,7.1,7.9,7.9,7.9,8.1,8.6,9.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,Iowa,5.4,5.7,6.2,6.1,6.3,6.9,7.4,6.8,6.7,6.9,7.0,6.5,6.6,6.7,6.9,6.9,6.9,7.0,7.1,6.9,7.9,7.7,9.0,2.3,2.2,2.0,1.3,1.2,1.5,1.9,2.2,2.4,2.4,2.4,2.6,2.5,2.7,2.7,2.8,2.8,3.1,3.3,3.3,3.3,3.7,3.9
16,Kansas,5.3,5.4,6.0,6.2,5.9,6.1,6.0,6.3,6.3,6.4,6.4,6.7,6.8,6.8,6.8,7.0,6.9,7.3,7.5,8.3,7.1,8.5,9.2,2.3,2.3,2.4,2.7,2.8,3.0,3.0,3.4,3.9,3.7,3.6,3.5,3.4,3.1,3.1,3.3,3.3,3.6,3.4,3.6,3.4,4.1,5.0
17,Kentucky,6.3,6.8,7.2,7.4,7.2,6.9,7.3,7.2,7.5,7.4,7.6,7.9,7.8,8.4,8.7,8.8,9.1,9.0,9.0,9.8,10.9,12.2,13.5,3.4,3.5,3.7,3.8,3.7,3.8,4.2,4.1,4.4,4.5,4.6,4.6,4.6,5.0,4.6,4.9,5.0,5.2,5.1,5.1,5.5,5.9,5.8
18,Louisiana,5.1,5.1,5.6,6.1,6.8,6.9,6.4,5.7,6.4,6.9,7.1,6.8,7.5,NULL,8.0,8.0,8.2,8.1,8.4,9.1,9.1,9.3,9.6,2.4,1.7,1.9,2.0,2.8,2.3,2.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.4,3.3,NULL,NULL,NULL,NULL,NULL
19,Maine,7.1,7.4,7.6,7.6,7.6,7.7,8.3,7.3,7.2,7.1,7.1,7.4,7.4,7.8,8.2,8.6,8.4,8.4,8.6,8.8,8.6,8.7,9.7,3.0,3.2,3.2,3.4,3.4,3.6,4.0,3.9,4.2,4.2,4.1,4.2,4.2,4.2,4.1,4.3,4.4,4.6,4.7,5.0,5.1,4.4,4.3
20,Maryland,5.6,5.9,6.3,6.3,6.2,6.5,6.8,5.6,5.8,5.7,5.8,5.9,6.5,6.6,6.9,6.9,6.9,7.1,7.0,7.5,7.5,8.4,9.7,2.7,2.4,2.5,2.7,2.6,2.5,2.5,2.8,2.9,2.8,2.8,2.8,2.9,3.0,3.1,3.2,3.2,3.4,3.0,3.3,3.2,3.0,3.4
21,Massachusetts,5.0,6.3,5.7,5.8,5.5,5.6,5.5,5.5,5.5,5.6,5.6,5.7,5.9,5.9,6.2,6.5,5.6,5.9,6.2,5.8,6.2,7.1,7.9,1.5,2.1,2.2,2.3,2.6,2.7,2.6,2.7,2.7,2.5,2.2,2.0,2.3,2.3,2.2,2.2,2.5,2.5,2.4,2.5,2.5,2.2,2.8
22,Michigan,5.2,5.7,5.9,5.9,6.0,5.8,5.8,5.6,5.7,5.5,5.4,5.6,5.7,5.9,6.1,6.2,6.3,6.5,6.7,6.7,6.8,7.3,8.2,2.3,2.8,2.8,2.9,3.0,3.0,3.3,3.3,3.4,3.5,3.3,3.4,3.4,3.5,3.4,3.5,3.5,3.8,3.9,3.9,3.8,4.1,4.3
23,Minnesota,5.1,5.3,5.6,5.6,5.6,5.9,6.0,5.6,5.6,5.3,5.3,5.4,5.8,6.0,6.0,6.0,6.3,6.5,6.6,6.8,6.8,7.0,7.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.8,3.0,3.1,3.2,3.2,3.2,3.4,3.5
24,Mississippi,6.0,6.3,6.7,7.0,7.0,6.9,6.7,5.8,4.9,4.9,4.8,5.1,5.4,5.7,5.8,6.1,6.2,6.4,6.5,6.9,7.8,7.9,9.4,2.6,2.7,2.9,3.2,3.4,3.4,3.6,4.0,4.0,4.3,4.1,4.3,4.5,4.8,4.4,4.5,4.6,4.9,5.0,5.0,5.0,4.8,5.5
25,Missouri,6.0,6.5,6.6,6.9,6.8,6.7,6.4,6.5,6.6,6.5,6.5,6.8,6.9,6.9,7.0,7.1,7.2,7.3,7.5,7.8,8.1,8.3,9.6,2.9,3.0,3.1,3.3,3.2,3.3,3.4,3.7,3.9,3.9,3.8,3.7,3.8,3.8,3.6,3.8,3.9,4.0,4.2,4.5,4.4,5.0,5.1
26,Montana,7.9,7.7,8.0,7.8,8.0,7.9,7.4,7.8,7.8,7.4,7.3,7.6,7.5,7.4,7.4,7.5,7.2,7.1,7.1,7.3,7.4,7.6,8.6,3.0,3.0,3.1,3.1,3.4,3.4,3.4,3.9,4.0,3.9,4.0,4.1,4.0,4.4,4.5,3.8,3.9,4.0,4.2,4.2,2.8,4.8,5.1
27,Nebraska,5.5,6.0,6.3,6.5,6.4,6.4,6.3,6.7,6.6,6.6,6.6,6.9,6.8,6.8,7.0,7.1,7.0,7.5,7.9,7.6,7.5,7.3,8.0,2.7,2.9,3.0,3.1,3.2,3.1,3.3,3.4,3.5,3.6,3.4,3.3,3.4,3.4,3.3,3.4,3.4,3.6,3.6,3.7,3.7,3.8,4.0
28,Nevada,25.9,26.7,28.6,28.4,31.0,31.9,32.3,35.1,36.9,38.3,40.3,42.3,48.6,52.1,57.4,62.1,63.9,67.4,69.6,72.2,82.3,85.2,99.0,4.2,4.4,4.5,4.3,4.6,5.3,5.1,5.5,5.6,5.9,6.6,6.4,6.4,6.7,7.4,6.3,7.3,7.1,6.3,9.9,7.8,7.8,11.4
29,New Hampshire,6.6,6.9,7.0,7.0,6.9,7.2,6.9,6.8,7.1,7.3,6.5,6.8,7.1,7.2,7.3,8.0,8.1,8.3,8.5,9.4,7.9,8.3,9.5,3.1,3.1,3.1,3.4,3.3,3.5,3.7,3.6,3.8,3.8,3.7,3.9,3.8,4.1,3.9,4.0,4.1,4.3,4.4,4.8,5.1,4.2,4.7
30,New Jersey,5.2,5.4,5.5,5.7,5.6,5.4,5.1,4.9,4.8,5.1,5.0,5.4,5.4,5.5,5.7,5.9,5.8,6.0,6.4,6.0,5.9,6.5,7.6,2.5,2.7,2.6,2.7,2.8,2.8,2.8,2.8,2.9,3.0,2.7,3.0,3.0,3.0,2.9,3.0,3.2,3.4,3.4,3.0,3.0,3.0,3.0
31,New Mexico,6.0,6.4,5.9,6.4,6.2,8.1,7.3,6.9,8.0,7.7,5.0,4.0,5.6,6.8,6.6,7.4,6.9,7.9,7.6,8.0,8.0,8.8,8.8,NULL,NULL,NULL,NULL,3.3,3.6,3.4,3.0,3.3,4.0,3.9,4.1,4.2,4.3,4.6,4.6,5.2,4.4,4.9,5.1,4.6,6.6,4.9
32,New York,7.2,7.1,7.3,7.5,7.1,6.7,6.9,7.0,6.9,6.5,6.5,6.6,6.8,6.9,6.8,6.8,6.8,7.3,7.6,7.1,7.3,8.0,8.6,2.9,2.8,2.7,2.7,2.7,2.8,2.7,2.9,2.9,2.9,2.6,2.8,2.9,3.1,2.9,3.0,3.2,3.4,3.5,3.0,3.3,3.0,3.2
33,North Carolina,6.2,6.4,6.8,7.0,7.0,6.9,6.5,6.6,6.7,6.6,6.6,6.9,7.0,7.3,7.3,7.3,7.4,7.7,7.4,8.2,8.5,8.4,7.8,3.1,3.1,3.1,3.2,3.1,3.4,3.4,3.7,3.7,3.8,3.8,3.8,4.0,4.0,4.1,4.2,4.2,4.4,4.6,4.5,4.6,5.0,5.1
34,North Dakota,5.4,5.7,5.8,6.0,6.2,6.3,6.3,6.6,6.7,6.5,6.4,6.5,6.6,6.7,6.8,6.9,7.1,6.8,6.5,7.2,6.6,7.1,7.5,2.5,2.6,2.5,2.6,2.8,2.8,2.9,3.1,2.7,3.1,2.8,2.9,2.9,3.0,2.9,3.1,2.9,2.9,2.9,3.4,4.4,3.4,3.6
35,Ohio,5.3,5.6,5.8,6.0,5.9,5.8,5.7,5.8,5.9,5.8,5.8,6.0,6.1,6.3,6.5,6.6,6.7,7.0,7.2,7.8,7.8,8.0,9.0,2.8,2.9,2.9,3.0,3.1,3.2,3.3,3.4,3.4,3.4,3.3,3.3,3.4,3.5,3.5,3.6,3.7,4.0,4.0,4.2,3.9,4.3,4.7
36,Oklahoma,6.3,6.4,6.8,6.7,7.4,7.1,7.1,6.9,6.9,7.2,6.9,7.1,7.3,7.3,7.3,6.5,NULL,NULL,NULL,NULL,6.8,8.6,10.6,3.9,3.8,4.1,4.4,4.4,4.5,4.5,4.8,5.2,5.2,4.8,5.3,5.2,5.3,5.6,4.9,NULL,NULL,NULL,NULL,NULL,6.6,7.7
37,Oregon,6.0,6.3,6.7,6.9,6.9,6.8,6.3,6.6,6.6,6.5,6.6,6.9,7.2,7.3,7.3,8.1,7.2,7.1,7.5,7.6,7.6,8.1,8.9,3.2,3.4,3.4,3.4,3.4,3.4,3.6,3.8,3.8,4.0,3.9,3.9,3.9,4.0,4.2,4.1,4.3,4.6,4.8,4.8,4.6,4.7,5.5
38,Pennsylvania,5.4,5.5,5.7,5.8,5.7,5.8,5.4,5.5,5.3,5.3,5.3,5.5,5.7,5.7,5.8,5.9,5.9,5.7,5.8,6.0,6.1,6.2,7.1,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.3,3.0,3.1,3.1,3.1,3.1,3.1,3.2,3.3
39,Rhode Island,6.1,6.3,6.8,6.7,6.4,6.7,6.2,6.1,6.0,5.8,5.9,6.1,6.4,6.6,7.0,7.7,7.8,7.8,8.1,7.6,7.5,7.3,8.1,2.7,2.9,2.9,2.8,3.0,2.8,3.1,3.2,3.2,3.2,3.0,2.7,2.8,3.0,3.0,3.1,3.1,3.2,3.2,2.9,2.7,3.6,3.7
40,South Carolina,6.3,6.6,7.0,6.6,7.5,7.6,7.1,7.4,7.2,7.4,7.3,7.3,7.9,7.8,8.3,8.2,9.0,9.3,9.9,10.6,10.2,11.9,15.9,2.6,2.5,2.6,2.5,2.8,2.9,3.2,3.2,3.2,3.1,3.0,2.8,3.0,2.9,2.9,3.2,3.3,3.4,3.6,3.8,3.8,3.9,4.5
41,South Dakota,6.1,6.5,6.7,7.2,7.2,7.1,7.0,7.5,7.5,7.3,7.3,7.7,7.8,8.0,8.4,8.4,8.4,8.8,8.9,9.4,9.1,9.9,11.1,2.6,2.6,2.7,2.8,2.6,2.8,2.9,3.0,3.3,3.4,3.3,3.1,3.1,3.2,2.8,3.1,3.0,3.3,3.3,3.5,3.7,3.9,3.7
42,Tennessee,7.5,8.0,8.2,8.6,8.5,8.4,8.4,8.8,9.0,8.8,8.4,9.4,10.1,10.6,10.9,11.4,11.9,13.1,13.5,15.5,14.7,15.5,13.9,3.5,3.5,3.5,3.8,3.7,3.8,4.1,4.2,4.3,4.2,3.9,4.2,4.3,4.6,4.6,4.9,5.0,5.1,5.2,5.9,5.8,6.2,6.5
43,Texas,4.9,6.1,7.1,7.1,7.2,6.9,7.0,7.3,7.1,7.1,7.1,7.3,7.4,7.6,7.8,8.0,8.1,8.4,9.1,9.4,9.1,9.9,10.5,2.1,2.6,2.2,2.6,2.6,2.7,2.9,3.0,3.2,3.3,3.3,3.3,3.3,3.4,3.3,3.6,3.8,3.9,4.0,4.0,3.8,5.2,5.5
44,Utah,8.1,8.4,8.7,9.0,8.1,7.3,7.5,8.4,8.6,8.5,8.4,9.0,9.6,9.2,9.8,9.9,10.2,10.4,10.2,10.8,9.6,10.7,11.2,3.5,3.8,3.4,3.6,3.6,3.1,3.1,3.3,3.7,3.7,3.7,3.8,3.7,3.9,4.1,4.1,4.0,4.1,4.2,4.3,4.0,4.4,5.1
45,Vermont,7.7,7.9,7.9,8.3,8.1,8.7,9.2,8.2,8.3,9.3,8.7,7.9,8.5,8.6,8.9,9.4,9.7,9.8,9.8,10.0,10.0,10.3,10.9,2.8,3.1,2.9,3.1,3.1,3.5,3.5,3.5,3.6,3.8,3.5,3.6,3.6,3.8,3.6,3.9,4.0,4.2,4.3,4.1,4.4,4.7,4.5
46,Virginia,6.1,6.4,6.8,7.0,7.0,6.7,6.7,6.8,6.8,6.8,6.9,7.2,7.5,7.8,8.2,8.3,8.4,8.6,8.8,8.8,9.2,10.2,11.4,2.9,3.1,3.0,3.4,3.3,3.5,3.6,3.7,3.8,3.8,3.7,3.8,3.8,4.0,4.0,3.9,4.0,4.2,4.2,4.3,4.4,4.3,4.4
47,Washington,5.7,6.0,6.2,6.2,6.2,7.0,7.1,6.3,6.1,6.0,6.0,6.3,6.4,6.5,6.5,6.5,6.5,6.5,7.0,6.9,7.2,7.7,9.5,2.8,3.3,3.4,3.5,3.4,3.6,3.8,3.9,4.1,4.2,3.9,3.9,4.0,4.1,4.3,4.3,4.4,4.6,4.5,4.6,5.0,5.4,5.9
48,West Virginia,6.0,6.1,6.3,6.4,6.6,6.7,6.6,7.0,7.2,6.7,6.7,7.1,7.3,7.3,7.4,7.5,7.5,8.1,7.9,8.7,7.5,6.1,7.2,3.6,3.3,3.5,3.8,4.0,4.2,4.6,4.7,5.2,5.1,5.1,4.8,5.1,5.0,5.1,5.0,5.2,5.2,5.2,5.1,4.9,5.2,5.3
49,Wisconsin,5.0,5.4,5.6,5.6,5.6,5.7,5.2,5.4,5.3,5.3,5.3,5.6,5.7,6.0,6.1,6.2,6.2,6.3,6.5,6.7,6.7,7.0,7.9,2.3,2.5,2.4,2.6,2.6,2.7,2.8,2.9,2.9,3.0,2.9,3.0,2.9,3.0,2.9,3.0,3.1,3.2,3.2,3.2,3.2,3.4,3.6
50,Wyoming,7.0,7.1,7.1,7.1,7.3,7.7,7.5,7.6,7.8,7.6,8.0,8.6,9.0,9.3,9.3,9.3,9.3,9.5,10.0,10.0,9.9,10.6,10.7,3.8,3.8,4.0,4.2,4.1,4.6,4.3,4.4,4.8,5.1,5.1,4.9,4.9,5.1,5.2,5.2,5.4,5.4,5.8,5.8,5.7,6.6,6.6
