State,Lat,Lon,Average,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1995,1990
Alabama,32.6010112,-86.6807365,8.7,6.7,6.8,7,7.1,7.4,7.8,7.8,8.2,8.4,8.2,8.3,8.6,8.9,9.2,9.2,9.4,9.6,9.9,9.4,10.1,10.8,9.8,10.6
Alaska,61.3025006,-158.7750198,8,6.5,6.7,6.9,7.1,7.4,7.5,7.3,7.2,7.8,8,7.8,8.4,8.5,8.2,8.2,8.5,8.1,8.3,8.1,8.9,8.6,9,10.2
Arizona,34.1682185,-111.930907,6.5,5.3,5.5,5.8,5.9,5.9,5.8,5.4,5.6,5.7,5.9,5.6,6,6.4,6.5,6.6,6.7,6.5,6.7,7.6,7.5,8.2,8.8,10
Arkansas,34.7519275,-92.1313784,11.9,8.4,8.9,9.5,9.9,10,10.1,9.8,10.9,10.4,10.8,10.7,10.6,12,12.4,12.9,13.4,13.4,14.3,14.3,15.4,14.8,14.4,15.3
California 1,37.2718745,-119.2704153,6.3,5.7,6,6.3,6.5,6.2,6.4,6.5,6,5.8,5.8,5.8,6.7,6.2,6.3,6.4,6.4,6.1,6.2,6.5,5.8,6.4,6.3,7.9
Colorado,38.9979339,-105.550567,7.5,7.3,7.6,7.3,7.4,6.8,7.1,6.5,6.8,7,6.9,6.9,7.4,7.1,7.2,7.6,7.4,7.8,8,8.2,8.3,8.2,9,9.8
Connecticut,41.5187835,-72.757507,5.7,5,5.3,5.6,5.6,5.3,5.4,5,5.2,5.5,5.6,5.9,5.4,5.5,5.5,5.8,5.8,5.5,5.7,5.4,5.7,5.8,6.6,7.9
Delaware,39.145251,-75.4189206,6,5,5.2,5.5,5.6,5.7,6,6.6,5.8,5.2,5.2,5.4,5.5,5.7,5.9,5.9,6.1,6,6.4,6.5,6.5,6.7,7.3,8.4
Florida,27.9757279,-83.8330166,8.3,7.1,7.3,7.8,8.1,8.2,7.3,7,7.2,7.4,7.3,7.5,8,8.5,8.6,8.9,9,9,9.4,9.3,8.9,8.7,9.9,10.9
Georgia,32.6781248,-83.2229757,7,6,6.4,6.9,6.8,6.2,---,---,6.5,6.6,7.3,6.6,6,6.8,7.3,7,7.9,7,6.5,6.1,6.8,7.8,8.4,10.3
Hawaii,20.46,-157.505,18.3,14.2,15.3,15.3,15.6,15.9,17.7,16.3,17.5,17.6,17.6,17.2,19.1,20.8,21.9,22.6,22.6,22,20.8,19.6,20.6,18.9,15.7,16.4
Idaho,45.4945756,-114.1424303,9.8,7.4,7.8,7.8,8.1,8.2,8.4,8.2,8.2,8.6,8.8,8.9,9.5,10,10.1,10.5,10.8,10.9,11,11.2,10.8,12.1,13.1,13.9
Illinois,39.739318,-89.504139,6.2,5.2,5.5,6,5.8,5.9,6.2,5.4,5.8,5.6,5.7,5.7,5.9,6.1,6.2,5.9,6.2,6.5,6.6,7.2,6.9,7,6.9,8.8
Indiana,39.7662195,-86.441277,7.3,6.2,6.6,6.9,6.9,6.9,7.1,6.6,6.7,6.8,6.3,7.9,8,7,7,6.9,7.8,7.1,7.9,7.9,7.9,8.1,8.6,9.6
Iowa,41.9383166,-93.389798,6.8,5.4,5.7,6.2,6.1,6.3,6.9,7.4,6.8,6.7,6.9,7,6.5,6.6,6.7,6.9,6.9,6.9,7,7.1,6.9,7.9,7.7,9
Kansas,38.4987789,-98.3200779,6.7,5.3,5.4,6,6.2,5.9,6.1,6,6.3,6.3,6.4,6.4,6.7,6.8,6.8,6.8,7,6.9,7.3,7.5,8.3,7.1,8.5,9.2
Kentucky,37.8222935,-85.7682399,8.4,6.3,6.8,7.2,7.4,7.2,6.9,7.3,7.2,7.5,7.4,7.6,7.9,7.8,8.4,8.7,8.8,9.1,9,9,9.8,10.9,12.2,13.5
Louisiana,30.9733766,-91.4299097,7.3,5.1,5.1,5.6,6.1,6.8,6.9,6.4,5.7,6.4,6.9,7.1,6.8,7.5,---,8,8,8.2,8.1,8.4,9.1,9.1,9.3,9.6
Maine,45.2185133,-69.0148656,7.9,7.1,7.4,7.6,7.6,7.6,7.7,8.3,7.3,7.2,7.1,7.1,7.4,7.4,7.8,8.2,8.6,8.4,8.4,8.6,8.8,8.6,8.7,9.7
Maryland,38.8063524,-77.2684162,6.7,5.6,5.9,6.3,6.3,6.2,6.5,6.8,5.6,5.8,5.7,5.8,5.9,6.5,6.6,6.9,6.9,6.9,7.1,7,7.5,7.5,8.4,9.7
Massachusetts,42.0629398,-71.718067,5.9,5,6.3,5.7,5.8,5.5,5.6,5.5,5.5,5.5,5.6,5.6,5.7,5.9,5.9,6.2,6.5,5.6,5.9,6.2,5.8,6.2,7.1,7.9
Michigan,44.9435598,-86.4158049,6.1,5.2,5.7,5.9,5.9,6,5.8,5.8,5.6,5.7,5.5,5.4,5.6,5.7,5.9,6.1,6.2,6.3,6.5,6.7,6.7,6.8,7.3,8.2
Minnesota,46.4418595,-93.3655146,6,5.1,5.3,5.6,5.6,5.6,5.9,6,5.6,5.6,5.3,5.3,5.4,5.8,6,6,6,6.3,6.5,6.6,6.8,6.8,7,7.7
Mississippi,32.5851062,-89.8772196,6.4,6,6.3,6.7,7,7,6.9,6.7,5.8,4.9,4.9,4.8,5.1,5.4,5.7,5.8,6.1,6.2,6.4,6.5,6.9,7.8,7.9,9.4
Missouri,38.3046615,-92.437099,7.1,6,6.5,6.6,6.9,6.8,6.7,6.4,6.5,6.6,6.5,6.5,6.8,6.9,6.9,7,7.1,7.2,7.3,7.5,7.8,8.1,8.3,9.6
Montana,46.6797995,-110.044783,7.6,7.9,7.7,8,7.8,8,7.9,7.4,7.8,7.8,7.4,7.3,7.6,7.5,7.4,7.4,7.5,7.2,7.1,7.1,7.3,7.4,7.6,8.6
Nebraska,41.5008195,-99.680902,6.8,5.5,6,6.3,6.5,6.4,6.4,6.3,6.7,6.6,6.6,6.6,6.9,6.8,6.8,7,7.1,7,7.5,7.9,7.6,7.5,7.3,8
Nevada,38.502032,-117.0230604,50.3,25.9,26.7,28.6,28.4,31,31.9,32.3,35.1,36.9,38.3,40.3,42.3,48.6,52.1,57.4,62.1,63.9,67.4,69.6,72.2,82.3,85.2,99
New Hampshire,44.0012306,-71.5799231,7.5,6.6,6.9,7,7,6.9,7.2,6.9,6.8,7.1,7.3,6.5,6.8,7.1,7.2,7.3,8,8.1,8.3,8.5,9.4,7.9,8.3,9.5
New Jersey,40.1430058,-74.7311156,5.6,5.2,5.4,5.5,5.7,5.6,5.4,5.1,4.9,4.8,5.1,5,5.4,5.4,5.5,5.7,5.9,5.8,6,6.4,6,5.9,6.5,7.6
New Mexico,34.1662325,-106.0260685,7,6,6.4,5.9,6.4,6.2,8.1,7.3,6.9,8,7.7,5,4,5.6,6.8,6.6,7.4,6.9,7.9,7.6,8,8,8.8,8.8
New York,40.7056258,-73.97968,7.1,7.2,7.1,7.3,7.5,7.1,6.7,6.9,7,6.9,6.5,6.5,6.6,6.8,6.9,6.8,6.8,6.8,7.3,7.6,7.1,7.3,8,8.6
North Carolina,35.2145629,-79.8912675,7.2,6.2,6.4,6.8,7,7,6.9,6.5,6.6,6.7,6.6,6.6,6.9,7,7.3,7.3,7.3,7.4,7.7,7.4,8.2,8.5,8.4,7.8
North Dakota,47.4678819,-100.3022655,6.5,5.4,5.7,5.8,6,6.2,6.3,6.3,6.6,6.7,6.5,6.4,6.5,6.6,6.7,6.8,6.9,7.1,6.8,6.5,7.2,6.6,7.1,7.5
Ohio,40.1903624,-82.6692525,6.5,5.3,5.6,5.8,6,5.9,5.8,5.7,5.8,5.9,5.8,5.8,6,6.1,6.3,6.5,6.6,6.7,7,7.2,7.8,7.8,8,9
Oklahoma,35.3097654,-98.7165585,7.2,6.3,6.4,6.8,6.7,7.4,7.1,7.1,6.9,6.9,7.2,6.9,7.1,7.3,7.3,7.3,6.5,---,---,---,---,6.8,8.6,10.6
Oregon,44.1419049,-120.5380993,7.1,6,6.3,6.7,6.9,6.9,6.8,6.3,6.6,6.6,6.5,6.6,6.9,7.2,7.3,7.3,8.1,7.2,7.1,7.5,7.6,7.6,8.1,8.9
Pennsylvania,40.9945928,-77.6046984,5.7,5.4,5.5,5.7,5.8,5.7,5.8,5.4,5.5,5.3,5.3,5.3,5.5,5.7,5.7,5.8,5.9,5.9,5.7,5.8,6,6.1,6.2,7.1
Rhode Island,41.5827282,-71.5064508,6.8,6.1,6.3,6.8,6.7,6.4,6.7,6.2,6.1,6,5.8,5.9,6.1,6.4,6.6,7,7.7,7.8,7.8,8.1,7.6,7.5,7.3,8.1
South Carolina,33.62505,-80.9470381,8.4,6.3,6.6,7,6.6,7.5,7.6,7.1,7.4,7.2,7.4,7.3,7.3,7.9,7.8,8.3,8.2,9,9.3,9.9,10.6,10.2,11.9,15.9
South Dakota,44.2126995,-100.2471641,8,6.1,6.5,6.7,7.2,7.2,7.1,7,7.5,7.5,7.3,7.3,7.7,7.8,8,8.4,8.4,8.4,8.8,8.9,9.4,9.1,9.9,11.1
Tennessee,35.830521,-85.9785989,10.6,7.5,8,8.2,8.6,8.5,8.4,8.4,8.8,9,8.8,8.4,9.4,10.1,10.6,10.9,11.4,11.9,13.1,13.5,15.5,14.7,15.5,13.9
Texas,31.1693363,-100.0768425,7.7,4.9,6.1,7.1,7.1,7.2,6.9,7,7.3,7.1,7.1,7.1,7.3,7.4,7.6,7.8,8,8.1,8.4,9.1,9.4,9.1,9.9,10.5
Utah,39.4997605,-111.547028,9.2,8.1,8.4,8.7,9,8.1,7.3,7.5,8.4,8.6,8.5,8.4,9,9.6,9.2,9.8,9.9,10.2,10.4,10.2,10.8,9.6,10.7,11.2
Vermont,43.8717545,-72.4477828,9,7.7,7.9,7.9,8.3,8.1,8.7,9.2,8.2,8.3,9.3,8.7,7.9,8.5,8.6,8.9,9.4,9.7,9.8,9.8,10,10,10.3,10.9
Virginia,38.0033855,-79.4587861,7.8,6.1,6.4,6.8,7,7,6.7,6.7,6.8,6.8,6.8,6.9,7.2,7.5,7.8,8.2,8.3,8.4,8.6,8.8,8.8,9.2,10.2,11.4
Washington,38.8993487,-77.0145665,6.6,5.7,6,6.2,6.2,6.2,7,7.1,6.3,6.1,6,6,6.3,6.4,6.5,6.5,6.5,6.5,6.5,7,6.9,7.2,7.7,9.5
West Virginia,38.9201705,-80.1816905,7,6,6.1,6.3,6.4,6.6,6.7,6.6,7,7.2,6.7,6.7,7.1,7.3,7.3,7.4,7.5,7.5,8.1,7.9,8.7,7.5,6.1,7.2
Wisconsin,44.7862968,-89.8267049,5.9,5,5.4,5.6,5.6,5.6,5.7,5.2,5.4,5.3,5.3,5.3,5.6,5.7,6,6.1,6.2,6.2,6.3,6.5,6.7,6.7,7,7.9
Wyoming,43.000325,-107.5545669,8.6,7,7.1,7.1,7.1,7.3,7.7,7.5,7.6,7.8,7.6,8,8.6,9,9.3,9.3,9.3,9.3,9.5,10,10,9.9,10.6,10.7